id,rssi,snr,relay
1185,-78,-0.1,0
1186,-110,-16.6,1
1187,-118,-16.3,1
1188,-64,5.4,0
1189,-68,8.0,0
1190,-114,-17.6,1
1191,-111,-15.4,1
1192,-57,12.0,0
1193,-76,-0.5,0
1194,-70,2.5,0
1195,-113,-18.2,1
1196,-87,-2.7,1
1197,-69,5.8,0
1198,-69,3.8,0
1199,-89,-6.9,0
1200,-109,-12.6,1
1201,-98,-13.7,1
1202,-73,2.6,1
1203,-80,2.8,0
1204,-88,-4.1,0
1205,-112,-18.8,1
1206,-100,-9.5,1
1207,-67,7.3,0
1208,-103,-12.4,1
1209,-64,8.9,0
1210,-59,12.0,0
1211,-55,10.4,0
1212,-60,10.2,0
1213,-80,-0.1,0
1214,-107,-12.4,1
1215,-112,-15.2,1
1216,-78,-0.4,0
1217,-103,-14.2,1
1218,-73,5.6,0
1219,-100,-14.3,1
1220,-75,-0.1,0
1221,-63,6.1,0
1222,-78,-0.1,0
1223,-64,8.3,0
1224,-118,-18.1,1
1225,-80,-1.1,0
1226,-86,-3.6,1
1227,-101,-10.4,1
1228,-90,-5.1,1
1229,-82,-3.9,1
1230,-64,8.0,0
1231,-118,-15.4,1
1232,-77,-0.6,1
1233,-98,-12.1,1
1234,-93,-7.5,0
1235,-61,6.9,0
1236,-76,-1.8,1
1237,-85,-2.1,1
1238,-74,3.5,0
1239,-73,3.3,0
1240,-98,-7.5,1
1241,-119,-20.0,1
1242,-115,-19.1,1
1243,-63,8.9,0
1244,-81,3.1,0
1245,-111,-18.0,1
1246,-84,-4.7,0
1247,-65,3.7,0
1248,-106,-11.8,1
1249,-96,-9.7,0
1250,-89,-2.9,1
1251,-100,-11.2,1
1252,-110,-16.3,1
1253,-87,-2.1,1
1254,-117,-20.0,1
1255,-61,8.0,0
1256,-98,-5.7,1
1257,-87,-2.8,1
1258,-97,-6.5,1
1259,-105,-11.5,1
1260,-103,-7.9,1
1261,-111,-12.9,1
1262,-70,5.2,0
1263,-62,7.7,0
1264,-114,-19.8,1
1265,-59,12.0,0
1266,-99,-8.2,1
1267,-88,-3.4,1
1268,-98,-8.8,1
1269,-83,-2.3,0
1270,-83,-5.4,1
1271,-97,-10.2,1
1272,-69,2.6,0
1273,-85,-2.3,0
1274,-85,-0.6,0
1275,-56,9.2,0
1276,-85,-1.8,0
1277,-111,-16.9,1
1278,-91,-2.9,1
1279,-80,-1.7,0
1280,-68,7.6,0
1281,-70,6.6,0
1282,-72,2.9,0
1283,-78,-0.9,0
1284,-102,-9.5,1
1285,-95,-6.9,0
1286,-88,-5.2,1
1287,-60,8.5,0
1288,-76,3.2,0
1289,-89,-3.8,1
1290,-68,7.6,0
1291,-57,12.0,0
1292,-63,11.1,0
1293,-75,2.3,0
1294,-89,-6.6,0
1295,-60,8.1,0
1296,-108,-14.1,1
1297,-96,-6.9,1
1298,-74,1.5,0
1299,-75,1.7,0
1300,-112,-16.5,0
1301,-88,-2.1,0
1302,-94,-8.7,0
1303,-74,1.8,0
1304,-69,8.1,0
1305,-90,-3.4,0
1306,-88,-3.1,1
1307,-61,10.9,0
1308,-65,4.1,0
1309,-68,4.2,0
1310,-91,-13.5,1
1311,-91,-8.2,1
1312,-79,3.1,1
1313,-115,-19.1,1
1314,-72,5.8,0
1315,-73,3.8,0
1316,-74,3.2,0
1317,-82,0.2,1
1318,-112,-15.1,1
1319,-65,9.0,0
1320,-73,4.7,0
1321,-117,-16.4,1
1322,-107,-14.0,1
1323,-100,-9.0,1
1324,-110,-14.5,1
1325,-63,8.1,0
1326,-86,-1.5,0
1327,-91,-6.2,1
1328,-84,-0.1,0
1329,-108,-12.3,1
1330,-91,-3.9,1
1331,-88,-4.1,0
1332,-59,11.2,0
1333,-102,-12.1,1
1334,-96,-3.3,1
1335,-62,8.3,0
1336,-89,-2.4,0
1337,-97,-11.6,1
1338,-117,-16.4,1
1339,-100,-9.3,1
1340,-76,-0.4,0
1341,-93,-7.5,1
1342,-89,-5.3,1
1343,-74,4.8,0
1344,-67,5.9,0
1345,-107,-16.3,1
1346,-99,-8.0,1
1347,-77,0.1,1
1348,-100,-9.6,1
1349,-116,-20.0,1
1350,-63,8.2,0
1351,-58,12.0,0
1352,-90,-2.9,0
1353,-89,-9.4,1
1354,-63,9.8,0
1355,-103,-10.5,1
1356,-79,2.2,0
1357,-111,-17.0,1
1358,-107,-12.9,1
1359,-88,-3.0,1
1360,-87,-3.3,0
1361,-61,9.4,0
1362,-115,-17.5,1
1363,-111,-15.0,1
1364,-72,3.5,0
1365,-118,-20.0,1
1366,-95,-8.6,1
1367,-114,-20.0,1
1368,-68,9.3,0
1369,-100,-8.1,1
1370,-84,1.6,0
1371,-59,9.9,0
1372,-102,-10.5,1
1373,-114,-19.0,1
1374,-68,6.7,0
1375,-83,-3.9,0
1376,-72,4.7,0
1377,-99,-11.6,1
1378,-73,3.3,0
1379,-69,4.6,0
1380,-95,-7.0,0
1381,-80,-3.1,1
1382,-78,2.5,0
1383,-57,11.9,0
1384,-119,-20.0,1
1385,-91,-6.1,0
1386,-103,-16.1,1
1387,-109,-15.4,1
1388,-91,-4.4,0
1389,-112,-14.4,1
1390,-66,7.4,1
1391,-75,3.2,0
1392,-108,-15.6,1
1393,-86,-4.0,1
1394,-105,-15.0,1
1395,-116,-17.7,1
1396,-78,-2.7,0
1397,-103,-10.8,1
1398,-57,11.3,0
1399,-119,-17.9,1
1400,-102,-8.5,1
1401,-80,2.8,0
1402,-61,7.8,0
1403,-73,1.4,0
1404,-70,2.9,0
1405,-105,-12.2,1
1406,-95,-7.5,1
1407,-90,-5.0,0
1408,-80,-1.3,1
1409,-81,1.3,0
1410,-87,-4.2,1
1411,-99,-9.7,1
1412,-63,4.6,0
1413,-106,-14.0,1
1414,-59,8.8,0
1415,-89,0.7,0
1416,-105,-14.1,1
1417,-88,-1.6,1
1418,-103,-17.2,1
1419,-92,-3.7,0
1420,-95,-8.7,1
1421,-119,-20.0,1
1422,-57,10.5,0
1423,-72,1.3,0
1424,-86,-3.6,0
1425,-104,-12.4,0
1426,-73,0.7,0
1427,-111,-17.3,1
1428,-91,-3.4,0
1429,-80,0.6,0
1430,-73,0.3,1
1431,-74,4.5,0
1432,-76,-0.7,0
1433,-73,1.5,0
1434,-99,-11.4,1
1435,-85,-1.4,0
1436,-93,-5.5,1
1437,-61,7.6,0
1438,-64,9.3,0
1439,-110,-17.1,1
1440,-57,6.7,0
1441,-59,8.9,0
1442,-82,1.9,1
1443,-98,-3.8,1
1444,-108,-15.0,1
1445,-79,-2.6,1
1446,-87,-8.2,1
1447,-92,-7.6,1
1448,-96,-11.0,1
1449,-79,-2.8,1
1450,-106,-12.2,1
1451,-112,-12.0,1
1452,-97,-7.7,1
1453,-103,-12.6,1
1454,-99,-10.8,1
1455,-63,6.7,0
1456,-70,3.5,0
1457,-98,-10.4,1
1458,-64,7.9,0
1459,-102,-13.5,1
1460,-113,-16.1,1
1461,-69,5.2,0
1462,-78,1.7,0
1463,-68,5.7,0
1464,-78,3.8,0
1465,-75,1.0,0
1466,-76,5.0,0
1467,-107,-13.5,1
1468,-89,-3.6,1
1469,-88,-1.9,1
1470,-63,6.1,0
1471,-73,4.4,0
1472,-106,-11.1,1
1473,-87,-5.4,0
1474,-93,-5.7,1
1475,-112,-17.3,1
1476,-101,-12.3,1
1477,-90,-5.5,0
1478,-78,-0.6,0
1479,-72,1.1,0
1480,-80,-1.8,0
1481,-74,3.6,0
1482,-55,12.0,0
1483,-86,-0.5,0
1484,-98,-8.0,1
1485,-81,-2.2,0
1486,-57,12.0,0
1487,-75,5.3,0
1488,-116,-17.4,1
1489,-78,0.2,0
1490,-78,3.8,0
1491,-99,-10.9,1
1492,-95,-6.4,1
1493,-56,12.0,0
1494,-64,5.9,0
1495,-111,-16.7,1
1496,-109,-13.3,1
1497,-88,-7.1,1
1498,-105,-8.2,1
1499,-82,-1.8,0
1500,-110,-17.7,1
1501,-107,-17.4,1
1502,-96,-12.5,1
1503,-83,-5.2,0
1504,-69,4.6,0
1505,-85,-7.4,0
1506,-107,-15.9,1
1507,-70,0.0,1
1508,-116,-15.3,1
1509,-116,-19.8,1
1510,-98,-11.1,1
1511,-80,-1.1,0
1512,-111,-14.8,1
1513,-68,7.1,0
1514,-99,-10.3,1
1515,-75,2.6,0
1516,-97,-12.1,1
1517,-68,5.2,0
1518,-68,3.9,0
1519,-99,-10.9,1
1520,-74,2.9,0
1521,-95,-7.1,0
1522,-114,-16.7,1
1523,-65,4.8,0
1524,-59,10.2,0
1525,-86,-0.1,0
1526,-89,-2.4,0
1527,-64,9.8,0
1528,-66,7.2,0
1529,-72,5.0,0
1530,-95,-6.4,1
1531,-84,-0.7,1
1532,-112,-15.5,1
1533,-77,2.4,0
1534,-102,-10.5,1
1535,-69,5.4,0
1536,-61,10.2,0
1537,-79,1.2,0
1538,-79,-0.2,0
1539,-65,7.6,0
1540,-116,-17.1,1
1541,-78,-1.0,0
1542,-75,0.2,0
1543,-82,-3.1,1
1544,-61,8.7,0
1545,-118,-15.5,1
1546,-72,3.6,0
1547,-113,-17.9,1
1548,-119,-20.0,1
1549,-76,2.3,1
1550,-93,-6.3,1
1551,-91,-5.1,0
1552,-103,-10.4,0
1553,-79,-1.6,0
1554,-94,-6.9,1
1555,-115,-20.0,1
1556,-74,4.4,0
1557,-75,1.5,0
1558,-101,-7.9,1
1559,-65,6.2,0
1560,-85,-1.0,0
1561,-67,8.5,0
1562,-111,-14.0,1
1563,-100,-11.6,1
1564,-105,-15.1,1
1565,-77,2.8,0
1566,-71,3.2,0
1567,-95,-10.4,1
1568,-106,-13.7,1
1569,-113,-16.5,1
1570,-95,-7.6,1
1571,-110,-15.9,1
1572,-83,-3.9,0
1573,-82,4.2,0
1574,-91,-2.2,0
1575,-72,1.8,0
1576,-117,-15.9,1
1577,-102,-14.4,1
1578,-76,0.9,0
1579,-119,-20.0,1
1580,-70,4.1,0
1581,-76,5.6,0
1582,-79,-0.2,0
1583,-117,-17.5,1
1584,-76,-0.3,0
1585,-82,-2.1,0
1586,-103,-12.2,1
1587,-99,-7.0,0
1588,-64,8.8,0
1589,-91,-6.4,0
1590,-74,2.5,0
1591,-80,-3.3,1
1592,-87,-2.7,0
1593,-105,-13.8,1
1594,-120,-19.8,1
1595,-110,-18.1,1
1596,-69,5.1,0
1597,-106,-15.2,1
1598,-94,-7.3,1
1599,-102,-12.6,1
1600,-86,-2.5,0
1601,-69,4.8,0
1602,-90,-5.4,0
1603,-67,6.9,0
1604,-66,6.2,0
1605,-65,7.4,0
1606,-97,-6.4,1
1607,-100,-15.2,1
1608,-71,3.9,0
1609,-63,7.9,0
1610,-80,3.0,0
1611,-101,-10.7,1
1612,-110,-16.7,1
1613,-69,1.6,1
1614,-61,10.7,0
1615,-70,4.8,0
1616,-65,6.0,0
1617,-75,6.3,0
1618,-82,-0.8,0
1619,-79,0.6,0
1620,-87,-5.5,1
1621,-55,12.0,0
1622,-67,8.8,0
1623,-57,11.7,0
1624,-70,7.2,0
1625,-114,-17.9,1
1626,-100,-11.3,1
1627,-105,-16.0,1
1628,-66,8.1,0
1629,-79,1.5,0
1630,-72,5.1,0
1631,-96,-4.7,1
1632,-104,-13.3,1
1633,-95,-5.9,1
1634,-91,-4.2,1
1635,-65,9.6,0
1636,-114,-16.7,1
1637,-99,-7.2,1
1638,-57,9.2,0
1639,-99,-7.3,1
1640,-57,10.9,0
1641,-83,0.9,1
1642,-109,-16.7,1
1643,-80,-2.3,0
1644,-108,-14.2,1
1645,-81,-1.7,0
1646,-82,-0.6,0
1647,-105,-10.6,1
1648,-65,10.3,0
1649,-85,-1.7,0
1650,-55,11.2,0
1651,-82,0.5,0
1652,-70,7.3,0
1653,-104,-13.8,1
1654,-79,1.0,1
1655,-76,1.8,0
1656,-81,-0.2,0
1657,-73,5.1,0
1658,-81,-2.3,0
1659,-96,-10.7,1
1660,-62,9.8,1
1661,-94,-2.0,1
1662,-81,-0.9,0
1663,-64,7.7,0
1664,-94,-6.7,0
1665,-90,-5.1,1
1666,-69,1.3,0
1667,-100,-10.1,1
1668,-77,3.0,0
1669,-113,-15.3,1
1670,-92,-6.8,1
1671,-106,-14.2,1
1672,-118,-18.9,1
1673,-91,-9.0,1
1674,-93,-4.0,1
1675,-63,6.6,1
1676,-92,-5.5,0
1677,-70,2.2,0
1678,-68,10.1,0
1679,-68,7.8,0
1680,-118,-16.7,1
1681,-103,-13.9,1
1682,-80,-0.6,1
1683,-92,-7.2,1
1684,-59,10.0,0
1685,-98,-8.4,1
1686,-113,-15.0,1
1687,-102,-12.9,1
1688,-80,0.3,0
1689,-114,-15.0,1
1690,-59,12.0,0
1691,-66,8.6,0
1692,-94,-12.5,1
1693,-87,-0.6,0
1694,-68,6.0,0
1695,-109,-14.9,1
1696,-110,-14.4,1
1697,-96,-13.1,0
1698,-81,3.6,0
1699,-83,-1.2,1
1700,-64,9.3,0
1701,-56,12.0,0
1702,-101,-11.2,1
1703,-108,-17.4,1
1704,-103,-12.2,1
1705,-112,-15.7,1
1706,-94,-5.6,0
1707,-115,-18.6,1
1708,-89,-5.5,0
1709,-65,9.5,0
1710,-108,-13.5,1
1711,-72,4.5,0
1712,-93,-8.5,1
1713,-92,-7.3,1
1714,-56,10.4,0
1715,-73,3.3,1
1716,-85,-3.3,1
1717,-69,6.9,0
1718,-86,-1.6,0
1719,-70,7.4,0
1720,-66,6.1,0
1721,-79,-3.0,1
1722,-60,10.3,0
1723,-73,3.4,0
1724,-58,10.0,0
1725,-79,-2.0,1
1726,-58,12.0,0
1727,-97,-8.9,1
1728,-58,10.3,0
1729,-98,-9.6,1
1730,-109,-11.9,1
1731,-99,-7.6,0
1732,-75,7.0,0
1733,-98,-7.6,1
1734,-75,3.7,0
1735,-66,8.2,0
1736,-106,-12.9,1
1737,-111,-16.0,1
1738,-113,-16.7,1
1739,-106,-11.8,1
1740,-89,-4.9,0
1741,-112,-18.1,1
1742,-104,-8.9,1
1743,-95,-7.4,0
1744,-61,10.5,1
1745,-111,-18.5,1
1746,-59,10.0,0
1747,-70,6.0,0
1748,-66,4.9,0
1749,-118,-19.8,1
1750,-93,-7.4,1
1751,-119,-16.2,0
1752,-115,-20.0,0
1753,-113,-17.2,1
1754,-108,-13.2,1
1755,-58,10.1,0
1756,-103,-14.4,1
1757,-106,-7.4,0
1758,-112,-17.8,1
1759,-100,-8.1,1
1760,-118,-20.0,1
1761,-92,-7.0,1
1762,-66,7.4,0
1763,-91,-6.3,1
1764,-62,9.4,0
1765,-97,-10.3,1
1766,-81,-1.6,0
1767,-73,3.9,0
1768,-76,1.4,0
1769,-103,-11.8,0
1770,-84,-0.5,0
1771,-78,2.3,0
1772,-67,3.9,0
1773,-86,-2.6,1
1774,-96,-8.1,1
1775,-69,3.6,0
1776,-71,6.2,0
1777,-93,-5.7,1
1778,-105,-13.6,1
1779,-91,-6.1,1
1780,-66,6.9,0
1781,-116,-20.0,1
1782,-73,2.6,0
1783,-107,-7.3,1
1784,-102,-12.8,1
1785,-55,12.0,0
1786,-104,-14.1,1
1787,-99,-8.8,1
1788,-57,6.5,0
1789,-71,1.6,0
1790,-91,-3.5,1
1791,-98,-10.6,0
1792,-96,-11.1,1
1793,-103,-9.9,1
1794,-78,1.3,0
1795,-63,12.0,0
1796,-72,6.0,0
1797,-90,-4.0,1
1798,-83,-6.5,0
1799,-114,-16.5,1
1800,-87,-4.5,1
1801,-79,0.8,0
1802,-93,-9.0,0
1803,-87,-0.6,0
1804,-60,11.9,0
1805,-94,-5.8,1
1806,-108,-14.9,1
1807,-109,-14.8,1
1808,-58,7.5,0
1809,-64,7.4,0
1810,-82,-2.5,1
1811,-118,-20.0,1
1812,-78,1.6,0
1813,-68,6.3,0
1814,-91,-4.4,1
1815,-98,-6.3,0
1816,-110,-13.2,1
1817,-57,9.6,0
1818,-114,-17.2,1
1819,-58,12.0,0
1820,-108,-13.5,0
1821,-90,-6.8,1
1822,-69,3.8,1
1823,-119,-20.0,1
1824,-63,9.3,0
1825,-76,3.2,0
1826,-84,-7.3,0
1827,-76,-0.4,0
1828,-69,3.3,0
1829,-62,10.7,0
1830,-102,-9.6,1
1831,-81,0.1,0
1832,-120,-19.8,1
1833,-105,-12.0,1
1834,-80,-2.4,0
1835,-62,7.7,0
1836,-84,-1.7,0
1837,-71,6.5,0
1838,-92,-7.9,1
1839,-79,-1.9,0
1840,-61,11.5,0
1841,-69,3.9,0
1842,-72,6.3,0
1843,-70,7.9,0
1844,-91,-6.2,0
1845,-106,-11.9,1
1846,-80,0.9,0
1847,-76,3.6,0
1848,-95,-9.1,1
1849,-71,6.1,0
1850,-68,5.0,0
1851,-72,4.4,0
1852,-83,-0.3,1
1853,-70,7.3,0
1854,-81,1.0,1
1855,-57,12.0,0
1856,-77,-2.7,0
1857,-108,-12.5,1
1858,-110,-15.3,1
1859,-103,-14.9,1
1860,-96,-7.9,1
1861,-84,-8.3,1
1862,-100,-11.6,1
1863,-64,8.6,0
1864,-105,-11.6,1
1865,-93,-8.1,1
1866,-114,-16.8,1
1867,-72,4.5,0
1868,-80,0.1,0
1869,-93,-5.6,1
1870,-82,-3.3,1
1871,-92,-4.0,1
1872,-105,-13.7,0
1873,-106,-15.9,0
1874,-59,11.1,0
1875,-57,12.0,0
1876,-110,-16.1,1
1877,-116,-20.0,1
1878,-113,-17.5,1
1879,-109,-14.2,1
1880,-76,2.6,0
1881,-109,-15.7,1
1882,-98,-7.6,0
1883,-67,7.9,0
1884,-93,-5.4,0
1885,-106,-13.2,1
1886,-67,8.1,0
1887,-57,10.1,0
1888,-113,-19.8,1
1889,-56,12.0,0
1890,-114,-18.8,1
1891,-65,8.4,0
1892,-116,-16.0,1
1893,-98,-6.9,1
1894,-109,-12.8,1
1895,-75,-0.8,1
1896,-71,2.4,0
1897,-111,-13.4,1
1898,-70,6.2,0
1899,-113,-18.7,1
1900,-116,-17.8,1
1901,-83,-0.3,0
1902,-65,4.4,0
1903,-71,3.8,0
1904,-60,12.0,0
1905,-100,-12.9,1
1906,-95,-6.4,1
1907,-65,12.0,0
1908,-103,-14.0,1
1909,-95,-7.5,0
1910,-97,-8.5,1
1911,-62,9.9,0
1912,-65,8.4,0
1913,-63,4.5,0
1914,-113,-13.9,1
1915,-79,0.1,0
1916,-118,-19.0,1
1917,-78,1.1,0
1918,-67,10.5,0
1919,-87,-5.5,0
1920,-112,-15.1,1
1921,-108,-15.8,1
1922,-73,1.2,0
1923,-101,-13.8,1
1924,-115,-17.4,1
1925,-88,-4.8,1
1926,-61,7.1,0
1927,-76,2.6,0
1928,-57,8.3,0
1929,-117,-19.6,1
1930,-88,-3.2,1
1931,-91,-5.6,1
1932,-82,-1.2,0
1933,-108,-12.2,1
1934,-59,8.0,0
1935,-85,-1.9,0
1936,-97,-10.1,1
1937,-84,-1.9,0
1938,-84,-0.6,0
1939,-112,-15.9,1
1940,-72,4.8,0
1941,-60,7.3,0
1942,-118,-18.0,1
1943,-109,-15.6,1
1944,-101,-9.0,1
1945,-58,9.0,0
1946,-98,-9.2,1
1947,-100,-10.5,1
1948,-63,1.8,0
1949,-101,-9.8,1
1950,-58,12.0,0
1951,-104,-11.5,1
1952,-57,11.2,0
1953,-95,-7.3,1
1954,-79,0.9,0
1955,-78,0.0,1
1956,-77,1.4,0
1957,-63,6.1,0
1958,-89,-4.7,1
1959,-114,-20.0,1
1960,-55,11.0,0
1961,-97,-7.4,1
1962,-80,-0.8,0
1963,-78,-0.6,1
1964,-69,0.7,1
1965,-66,9.4,0
1966,-79,-2.4,0
1967,-118,-17.5,1
1968,-100,-9.0,1
1969,-118,-17.2,1
1970,-110,-17.6,1
1971,-97,-8.8,1
1972,-62,7.4,0
1973,-88,-2.8,0
1974,-87,-4.0,0
1975,-77,1.7,0
1976,-79,-1.0,0
1977,-102,-8.8,1
1978,-67,7.1,0
1979,-117,-17.4,1
1980,-111,-17.3,1
1981,-100,-9.4,1
1982,-81,-2.6,0
1983,-60,9.3,0
1984,-78,-1.2,0
1985,-111,-17.0,1
1986,-106,-11.9,0
1987,-118,-19.2,1
1988,-111,-15.1,1
1989,-77,1.6,0
1990,-65,6.0,0
1991,-110,-16.3,1
1992,-85,-5.7,1
1993,-83,0.2,1
1994,-78,-2.3,0
1995,-65,6.9,0
1996,-109,-14.7,1
1997,-95,-4.6,1
1998,-90,-5.8,0
1999,-67,3.0,0
2000,-93,-7.3,1
2001,-113,-15.0,1
2002,-65,12.0,0
2003,-78,5.0,1
2004,-90,-3.1,0
2005,-109,-14.8,1
2006,-68,5.6,0
2007,-118,-18.6,1
2008,-72,3.3,0
2009,-78,0.6,0
2010,-99,-9.6,1
2011,-110,-16.4,1
2012,-109,-17.2,1
2013,-56,10.2,0
2014,-72,4.6,0
2015,-73,5.5,0
2016,-73,-1.0,0
2017,-58,11.7,0
2018,-119,-20.0,1
2019,-95,-9.1,1
2020,-92,-7.1,1
2021,-118,-18.0,1
2022,-115,-15.3,1
2023,-60,9.5,0
2024,-101,-11.8,1
2025,-101,-8.9,1
2026,-81,-0.2,1
2027,-83,0.8,0
2028,-89,1.7,0
2029,-102,-8.8,1
2030,-103,-10.6,1
2031,-95,-9.2,1
2032,-74,3.6,0
2033,-77,0.2,0
2034,-75,2.6,0
2035,-119,-20.0,1
2036,-87,-0.5,1
2037,-70,2.0,0
2038,-63,7.6,0
2039,-74,6.3,0
2040,-110,-16.8,1
2041,-67,5.4,0
2042,-103,-13.0,1
2043,-59,9.0,0
2044,-120,-19.8,1
2045,-61,9.1,0
2046,-86,-2.7,0
2047,-98,-6.7,1
2048,-98,-8.6,1
2049,-79,1.5,0
2050,-90,-6.2,0
2051,-60,9.1,0
2052,-77,0.1,1
2053,-99,-12.3,1
2054,-65,7.3,0
2055,-120,-18.7,1
2056,-56,10.5,0
2057,-61,9.2,0
2058,-95,-9.1,1
2059,-61,9.2,0
2060,-113,-17.1,1
2061,-94,-9.0,1
2062,-63,9.0,0
2063,-91,-7.4,0
2064,-93,-8.2,1
2065,-87,-7.0,0
2066,-101,-9.5,1
2067,-110,-17.6,1
2068,-75,2.6,0
2069,-117,-17.4,1
2070,-90,-5.5,0
2071,-73,3.2,0
2072,-75,1.2,1
2073,-57,10.7,0
2074,-101,-10.2,1
2075,-89,-1.7,0
2076,-93,-8.2,1
2077,-95,-10.2,1
2078,-64,4.4,0
2079,-83,-0.3,0
2080,-116,-18.0,1
2081,-119,-18.2,1
2082,-82,-0.2,1
2083,-92,-8.8,1
2084,-63,3.9,0
2085,-101,-10.7,1
2086,-82,-2.0,0
2087,-104,-9.4,1
2088,-100,-8.7,1
2089,-91,-6.1,0
2090,-79,-1.5,0
2091,-107,-10.7,1
2092,-73,3.4,0
2093,-120,-19.2,1
2094,-77,0.4,0
2095,-91,-2.9,0
2096,-97,-7.9,1
2097,-94,-6.5,1
2098,-106,-12.9,1
2099,-108,-11.9,1
2100,-59,6.9,0
2101,-88,-5.9,0
2102,-115,-20.0,0
2103,-77,2.5,0
2104,-92,-4.6,1
2105,-94,-7.6,1
2106,-55,12.0,0
2107,-88,-5.6,1
2108,-110,-15.6,1
2109,-117,-20.0,1
2110,-95,-6.2,0
2111,-64,5.2,0
2112,-81,1.4,0
2113,-109,-11.3,1
2114,-76,8.1,0
2115,-75,4.3,0
2116,-101,-10.5,1
2117,-109,-12.8,1
2118,-86,0.5,1
2119,-96,-4.9,1
2120,-87,-3.8,1
2121,-76,1.1,0
2122,-67,6.9,0
2123,-66,9.2,0
2124,-98,-7.9,1
2125,-63,6.0,0
2126,-55,12.0,0
2127,-94,-8.1,1
2128,-103,-15.5,1
2129,-75,0.1,0
2130,-107,-11.7,1
2131,-73,5.3,0
2132,-109,-13.6,1
2133,-72,4.1,0
2134,-100,-9.3,1
2135,-117,-17.7,1
2136,-66,4.8,0
2137,-97,-9.0,1
2138,-65,5.0,0
2139,-71,3.7,0
2140,-65,7.0,0
2141,-93,-8.3,1
2142,-59,8.4,0
2143,-81,-1.4,0
2144,-77,0.0,0
2145,-107,-14.6,1
2146,-104,-14.1,1
2147,-80,2.2,0
2148,-69,9.2,0
2149,-57,12.0,0
2150,-63,5.8,0
2151,-119,-18.5,1
2152,-87,-5.9,0
2153,-108,-9.2,1
2154,-117,-20.0,1
2155,-74,3.1,0
2156,-79,0.1,0
2157,-92,-6.6,0
2158,-72,0.5,0
2159,-96,-9.1,1
2160,-76,4.7,0
2161,-120,-17.3,1
2162,-108,-13.5,1
2163,-57,8.7,0
2164,-109,-14.4,1
2165,-60,10.5,0
2166,-71,-0.4,1
2167,-57,9.0,0
2168,-88,-3.5,0
2169,-81,-0.8,0
2170,-91,-3.7,1
2171,-112,-16.3,1
2172,-99,-9.6,1
2173,-76,-0.2,0
2174,-117,-20.0,1
2175,-75,1.7,0
2176,-95,-5.0,0
2177,-60,12.0,0
2178,-69,4.4,0
2179,-115,-13.4,1
2180,-81,0.4,0
2181,-63,6.4,0
2182,-61,11.4,0
2183,-64,6.8,0
2184,-79,-0.2,0
2185,-61,11.0,0
2186,-74,4.1,0
2187,-115,-17.3,1
2188,-60,9.1,0
2189,-63,7.2,0
2190,-88,-3.5,0
2191,-68,6.0,0
2192,-70,7.3,0
2193,-64,7.8,0
2194,-97,-9.0,1
2195,-107,-9.2,1
2196,-81,1.2,0
2197,-119,-20.0,0
2198,-56,10.5,0
2199,-119,-20.0,1
2200,-62,5.0,0
2201,-114,-19.3,1
2202,-77,-1.6,0
2203,-112,-13.7,1
2204,-120,-20.0,1
2205,-81,3.1,0
2206,-76,0.6,0
2207,-87,-7.1,1
2208,-98,-8.3,1
2209,-67,4.7,0
2210,-101,-11.6,1
2211,-119,-18.7,1
2212,-107,-17.4,1
2213,-105,-12.2,0
2214,-73,1.7,0
2215,-72,2.3,0
2216,-104,-7.5,1
2217,-79,1.5,0
2218,-90,-7.2,0
2219,-116,-17.3,1
2220,-83,-0.8,0
2221,-93,-3.7,0
2222,-106,-15.0,1
2223,-95,-5.6,1
2224,-70,0.7,0
2225,-86,-4.3,0
2226,-94,-8.8,1
2227,-86,-2.0,0
2228,-88,-5.3,1
2229,-101,-9.5,1
2230,-60,8.6,0
2231,-115,-18.4,1
2232,-96,-8.1,1
2233,-66,6.2,0
2234,-83,-2.1,0
2235,-78,3.8,0
2236,-70,1.7,1
2237,-114,-14.7,1
2238,-80,-3.5,1
2239,-80,-2.1,0
2240,-118,-20.0,1
2241,-80,-3.0,0
2242,-88,-5.5,0
2243,-81,-1.3,0
2244,-66,8.6,0
2245,-107,-13.6,1
2246,-91,-8.5,1
2247,-58,6.9,0
2248,-91,-2.6,0
2249,-99,-12.2,1
2250,-63,10.3,0
2251,-81,-3.4,0
2252,-108,-15.9,1
2253,-74,4.6,0
2254,-104,-9.0,1
2255,-57,9.7,0
2256,-68,5.8,0
2257,-60,12.0,1
2258,-113,-17.1,1
2259,-116,-20.0,1
2260,-65,5.2,0
2261,-70,4.7,0
2262,-101,-10.6,1
2263,-68,5.8,0
2264,-86,-2.0,0
2265,-72,1.5,0
2266,-96,-6.4,1
2267,-83,-1.8,1
2268,-92,-4.6,0
2269,-68,4.2,0
2270,-82,-1.7,0
2271,-80,4.6,0
2272,-92,-8.1,1
2273,-56,9.0,0
2274,-106,-11.3,1
2275,-72,3.1,0
2276,-106,-12.0,1
2277,-76,1.4,0
2278,-89,-2.7,0
2279,-107,-14.6,1
2280,-93,-6.4,1
2281,-65,7.3,0
2282,-59,8.1,0
2283,-107,-17.8,1
2284,-59,7.6,0
2285,-107,-17.1,1
2286,-93,-11.5,0
2287,-96,-9.3,1
2288,-116,-20.0,1
2289,-70,6.2,0
2290,-59,11.7,0
2291,-64,3.8,0
2292,-112,-19.4,1
2293,-91,-8.6,1
